"Date";"Channel";"Description";"2nd Description";"Start time";"Duration";"Variable\Target";"Total Individuals";"Podgrupa";"A16-49";"M16-49";"A4-15";"A4-9";
;;"BLOK SPONSORSKI";"MOKATE";"07:50:06";"00:00:08";"AMR";7 317;0;7 317;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,162 %;0,000 %;0,474 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 317;0;7 317;0;0;0;
;;"BLOK SPONSORSKI";"MOKATE";"07:59:33";"00:00:08";"AMR";23 323;0;7 317;0;0;0;
;;;;;;"AMR %";0,065 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,506 %;0,000 %;0,451 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,065 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";23 323;0;7 317;0;0;0;
;;"PROMO";" ";"07:59:41";"00:00:38";"AMR";23 323;0;7 317;0;0;0;
;;;;;;"AMR %";0,065 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,504 %;0,000 %;0,450 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,065 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";23 323;0;7 317;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"08:00:19";"00:00:08";"AMR";23 323;0;7 317;0;0;0;
;;;;;;"AMR %";0,065 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,503 %;0,000 %;0,449 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,065 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";23 323;0;7 317;0;0;0;
;;"KOBIETY KTORE ZABIJAJA /SER.DOK.USA./";"SNAPPED";"08:00:27";"00:41:41";"AMR";9 978;0;2 177;0;0;0;
;;;;;;"AMR %";0,028 %;0,000 %;0,012 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,174 %;0,000 %;0,099 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,100 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";35 638;0;7 317;0;0;0;
;;"PROMO";" ";"08:12:51";"00:01:13";"AMR";8 653;0;902;0;0;0;
;;;;;;"AMR %";0,024 %;0,000 %;0,005 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,166 %;0,000 %;0,049 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,060 %;0,000 %;0,041 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";21 312;0;7 317;0;0;0;
;;"PROMO";" ";"08:17:10";"00:00:55";"AMR";11 071;0;0;0;0;0;
;;;;;;"AMR %";0,031 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,205 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,031 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";11 071;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"08:18:05";"00:00:08";"AMR";11 071;0;0;0;0;0;
;;;;;;"AMR %";0,031 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,204 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,031 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";11 071;0;0;0;0;0;
;;"PROMO";" ";"08:26:44";"00:00:53";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,124 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"PROMO";" ";"08:31:43";"00:00:35";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,121 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"08:32:18";"00:00:08";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,121 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"PROMO";" ";"08:43:36";"00:01:03";"AMR";12 674;0;0;0;0;0;
;;;;;;"AMR %";0,035 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,202 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,035 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";12 674;0;0;0;0;0;
;;"PROMO";" ";"08:48:45";"00:00:35";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,112 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"08:49:20";"00:00:08";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,112 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"08:59:04";"00:00:08";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,106 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"PROMO";" ";"08:59:12";"00:01:08";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,106 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"09:00:20";"00:00:08";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,105 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"KOBIETY KTORE ZABIJAJA /SER.DOK.USA./";"SNAPPED";"09:00:28";"00:40:57";"AMR";10 932;0;1 275;0;0;0;
;;;;;;"AMR %";0,031 %;0,000 %;0,007 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,141 %;0,000 %;0,039 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,151 %;0,000 %;0,152 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";54 109;0;27 007;0;0;0;
;;"PROMO";" ";"09:12:56";"00:01:05";"AMR";34 184;0;27 007;0;0;0;
;;;;;;"AMR %";0,096 %;0,000 %;0,152 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,462 %;0,000 %;0,880 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,096 %;0,000 %;0,152 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";34 184;0;27 007;0;0;0;
;;"PROMO";" ";"09:17:07";"00:01:03";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,097 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"09:18:10";"00:00:08";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,097 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"PROMO";" ";"09:27:14";"00:01:06";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,092 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"PROMO";" ";"09:32:26";"00:00:35";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,090 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"09:33:01";"00:00:08";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,089 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"PROMO";" ";"09:43:28";"00:01:03";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,089 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"PROMO";" ";"09:48:37";"00:01:03";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,087 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"09:49:40";"00:00:08";"AMR";7 177;0;0;0;0;0;
;;;;;;"AMR %";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,087 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,020 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 177;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"09:59:02";"00:00:08";"AMR";18 227;0;0;0;0;0;
;;;;;;"AMR %";0,051 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,217 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,051 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";18 227;0;0;0;0;0;
;;"PROMO";" ";"09:59:10";"00:01:10";"AMR";18 227;0;0;0;0;0;
;;;;;;"AMR %";0,051 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,217 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,051 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";18 227;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"10:00:20";"00:00:08";"AMR";18 227;0;0;0;0;0;
;;;;;;"AMR %";0,051 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,217 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,051 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";18 227;0;0;0;0;0;
;;"COLUMBO /SER.KRYM.USA/";"COLUMBO: AGENDA FOR MURDER";"10:00:28";"01:31:52";"AMR";42 887;244;3 345;244;419;0;
;;;;;;"AMR %";0,120 %;0,005 %;0,019 %;0,009 %;0,013 %;0,000 %;
;;;;;;"SHR %";0,526 %;0,023 %;0,097 %;0,050 %;0,058 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,393 %;0,089 %;0,266 %;0,163 %;0,165 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";140 254;4 254;47 197;4 254;5 494;0;
;;"PROMO";" ";"10:20:16";"00:01:03";"AMR";4 254;4 254;4 254;4 254;0;0;
;;;;;;"AMR %";0,012 %;0,089 %;0,024 %;0,163 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,052 %;0,378 %;0,120 %;0,735 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,012 %;0,089 %;0,024 %;0,163 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 254;4 254;4 254;4 254;0;0;
;;"PROMO";" ";"10:25:25";"00:01:03";"AMR";31 552;0;0;0;0;0;
;;;;;;"AMR %";0,088 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,380 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,088 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";31 552;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"10:26:28";"00:00:08";"AMR";31 552;0;0;0;0;0;
;;;;;;"AMR %";0,088 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,382 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,088 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";31 552;0;0;0;0;0;
;;"PROMO";" ";"10:49:37";"00:00:53";"AMR";40 381;0;0;0;0;0;
;;;;;;"AMR %";0,113 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,506 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,113 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";40 381;0;0;0;0;0;
;;"PROMO";" ";"10:55:36";"00:00:35";"AMR";40 381;0;0;0;0;0;
;;;;;;"AMR %";0,113 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,497 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,113 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";40 381;0;0;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"10:56:11";"00:00:08";"AMR";40 381;0;0;0;0;0;
;;;;;;"AMR %";0,113 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,498 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,113 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";40 381;0;0;0;0;0;
;;"PROMO";" ";"11:23:21";"00:00:53";"AMR";48 327;0;0;0;0;0;
;;;;;;"AMR %";0,135 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,605 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,135 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";48 327;0;0;0;0;0;
;;"PROMO";" ";"11:29:20";"00:00:33";"AMR";54 798;0;6 471;0;0;0;
;;;;;;"AMR %";0,153 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,684 %;0,000 %;0,192 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,153 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";54 798;0;6 471;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"11:29:53";"00:00:08";"AMR";54 798;0;6 471;0;0;0;
;;;;;;"AMR %";0,153 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,683 %;0,000 %;0,191 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,153 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";54 798;0;6 471;0;0;0;
;;"BLOK SPONSORSKI";"TREFL";"11:52:02";"00:00:08";"AMR";7 377;0;0;0;0;0;
;;;;;;"AMR %";0,021 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,091 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,021 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 377;0;0;0;0;0;
;;"PROMO";" ";"11:52:10";"00:01:13";"AMR";7 377;0;0;0;0;0;
;;;;;;"AMR %";0,021 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,091 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,021 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 377;0;0;0;0;0;
;;"PROMO";" ";"11:59:29";"00:00:50";"AMR";9 836;0;2 459;0;0;0;
;;;;;;"AMR %";0,028 %;0,000 %;0,014 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,119 %;0,000 %;0,069 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,039 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 848;0;6 471;0;0;0;
;;"BLOK SPONSORSKI";"WWW.OKACZKA.PL";"12:00:19";"00:00:08";"AMR";13 848;0;6 471;0;0;0;
;;;;;;"AMR %";0,039 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,168 %;0,000 %;0,180 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,039 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 848;0;6 471;0;0;0;
;;"ZAGINIONA /SER.KRYM.FR./";"DISPARUE";"12:00:27";"00:51:49";"AMR";13 949;266;4 648;266;0;0;
;;;;;;"AMR %";0,039 %;0,006 %;0,026 %;0,010 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,166 %;0,024 %;0,127 %;0,046 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,181 %;0,145 %;0,112 %;0,265 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";64 504;6 902;19 841;6 902;0;0;
;;"PROMO";" ";"12:13:05";"00:00:33";"AMR";20 656;0;6 471;0;0;0;
;;;;;;"AMR %";0,058 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,244 %;0,000 %;0,177 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,058 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";20 656;0;6 471;0;0;0;
;;"TV LOGO";" ";"12:15:44";"00:00:03";"AMR";13 279;0;6 471;0;0;0;
;;;;;;"AMR %";0,037 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,158 %;0,000 %;0,177 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,037 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 279;0;6 471;0;0;0;
;;"BLOK SPONSORSKI";"WWW.OKACZKA.PL";"12:15:47";"00:00:08";"AMR";13 279;0;6 471;0;0;0;
;;;;;;"AMR %";0,037 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,158 %;0,000 %;0,177 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,037 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 279;0;6 471;0;0;0;
;;"PROMO";" ";"12:28:08";"00:00:24";"AMR";13 279;0;6 471;0;0;0;
;;;;;;"AMR %";0,037 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,158 %;0,000 %;0,177 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,037 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 279;0;6 471;0;0;0;
;;"BLOK SPONSORSKI";"WWW.OKACZKA.PL";"12:29:38";"00:00:08";"AMR";13 279;0;6 471;0;0;0;
;;;;;;"AMR %";0,037 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,159 %;0,000 %;0,177 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,037 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 279;0;6 471;0;0;0;
;;"PROMO";" ";"12:42:19";"00:00:34";"AMR";6 808;0;0;0;0;0;
;;;;;;"AMR %";0,019 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,081 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,019 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";6 808;0;0;0;0;0;
;;"BLOK SPONSORSKI";"WWW.OKACZKA.PL";"12:44:59";"00:00:08";"AMR";6 808;0;0;0;0;0;
;;;;;;"AMR %";0,019 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,081 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,019 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";6 808;0;0;0;0;0;
;;"BLOK SPONSORSKI";"WWW.OKACZKA.PL";"12:59:32";"00:00:08";"AMR";12 305;0;0;0;0;0;
;;;;;;"AMR %";0,034 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,145 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,034 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";12 305;0;0;0;0;0;
;;"PROMO";" ";"12:59:40";"00:00:53";"AMR";12 305;0;0;0;0;0;
;;;;;;"AMR %";0,034 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,146 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
